"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 15, 2021","1,798.50","1,806.30","1,810.50","1,796.00","0.39K","-0.68%"
"Sep 14, 2021","1,810.80","1,800.00","1,814.20","1,786.60","1.16K","0.70%"
"Sep 13, 2021","1,798.30","1,788.60","1,803.00","1,788.60","2.69K","0.13%"
"Sep 10, 2021","1,795.90","1,807.00","1,808.00","1,795.60","0.84K","-0.44%"
"Sep 09, 2021","1,803.90","1,794.10","1,807.00","1,789.60","1.48K","0.37%"
"Sep 08, 2021","1,797.30","1,802.30","1,807.30","1,787.20","1.36K","-0.28%"
"Sep 07, 2021","1,802.30","1,835.00","1,835.00","1,798.60","1.22K","-1.28%"
"Sep 06, 2021","1,825.65","1,829.95","1,830.65","1,823.65","-","-0.24%"
"Sep 05, 2021","1,830.05","1,832.20","1,832.50","1,829.65","-","-0.40%"
"Sep 03, 2021","1,837.40","1,819.00","1,840.40","1,818.70","1.56K","1.22%"
"Sep 02, 2021","1,815.20","1,817.90","1,822.60","1,811.10","1.88K","-0.26%"
"Sep 01, 2021","1,819.90","1,820.80","1,826.00","1,816.00","1.09K","-0.12%"
"Aug 31, 2021","1,822.10","1,817.00","1,823.10","1,808.00","0.40K","0.32%"
"Aug 30, 2021","1,816.20","1,824.80","1,827.60","1,815.40","0.09K","-0.41%"
"Aug 27, 2021","1,823.60","1,800.90","1,825.20","1,793.70","0.41K","1.35%"
"Aug 26, 2021","1,799.30","1,792.30","1,803.00","1,787.20","0.47K","0.24%"
"Aug 25, 2021","1,795.00","1,807.60","1,807.60","1,789.00","0.11K","-0.97%"
"Aug 24, 2021","1,812.50","1,810.00","1,813.60","1,807.00","0.72K","0.12%"
"Aug 23, 2021","1,810.30","1,783.70","1,811.70","1,783.70","0.75K","1.25%"
"Aug 20, 2021","1,788.00","1,792.20","1,793.90","1,786.00","0.73K","0.05%"
"Aug 19, 2021","1,787.10","1,789.10","1,797.60","1,779.00","0.69K","-0.07%"
"Aug 18, 2021","1,788.40","1,793.90","1,798.50","1,783.90","0.71K","-0.19%"
"Aug 17, 2021","1,791.80","1,791.90","1,800.80","1,786.80","1.70K","-0.13%"
"Aug 16, 2021","1,794.10","1,784.90","1,794.90","1,780.00","0.34K","0.66%"
"Aug 13, 2021","1,782.40","1,761.30","1,785.50","1,761.30","0.84K","1.50%"
"Aug 12, 2021","1,756.10","1,756.70","1,763.70","1,748.90","1.80K","-0.09%"
"Aug 11, 2021","1,757.70","1,737.00","1,760.00","1,735.40","1.48K","1.26%"
"Aug 10, 2021","1,735.90","1,737.10","1,742.80","1,726.20","3.34K","0.29%"
"Aug 09, 2021","1,730.80","1,762.80","1,763.20","1,682.40","3.10K","-2.06%"
"Aug 06, 2021","1,767.20","1,805.20","1,808.00","1,764.50","2.08K","-2.52%"
"Aug 05, 2021","1,812.80","1,816.30","1,819.40","1,804.50","0.36K","-0.30%"
"Aug 04, 2021","1,818.20","1,821.00","1,839.60","1,813.40","1.09K","0.02%"
"Aug 03, 2021","1,817.90","1,817.60","1,819.40","1,814.90","0.40K","-0.44%"
"Aug 02, 2021","1,825.90","1,816.20","1,826.80","1,813.30","0.57K","0.28%"
"Jul 30, 2021","1,820.80","1,835.70","1,836.90","1,818.00","0.91K","-1.01%"
"Jul 29, 2021","1,839.40","1,820.00","1,840.70","1,820.00","0.73K","1.73%"
"Jul 28, 2021","1,808.10","1,813.80","1,813.90","1,803.70","2.46K","0.04%"
"Jul 27, 2021","1,807.30","1,806.40","1,811.90","1,803.10","0.92K","0.02%"
"Jul 26, 2021","1,806.90","1,818.90","1,818.90","1,805.20","0.09K","-0.13%"
"Jul 23, 2021","1,809.30","1,810.00","1,810.20","1,799.90","0.31K","-0.20%"
"Jul 22, 2021","1,812.90","1,806.20","1,813.80","1,800.70","0.07K","0.10%"
"Jul 21, 2021","1,811.00","1,811.90","1,812.70","1,802.60","0.21K","-0.43%"
"Jul 20, 2021","1,818.90","1,824.80","1,831.00","1,817.00","0.23K","0.11%"
